AoA,J,delta_a,V_inf,Acoustic,Time
5.0,0.0,0.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,40.0
1.0,0.0,0.0,0.0,0.0,52.0
2.0,0.0,0.0,0.0,0.0,64.0
3.0,0.0,0.0,0.0,0.0,76.0
-1.0,0.0,0.0,0.0,0.0,94.0
-3.0,0.0,0.0,0.0,0.0,108.0
-4.0,0.0,0.0,0.0,0.0,120.0
8.0,0.0,0.0,0.0,1.0,204.0
-2.0,0.0,0.0,0.0,0.0,234.0
4.0,0.0,0.0,0.0,0.0,256.0
6.0,0.0,0.0,0.0,0.0,270.0
7.0,0.0,0.0,0.0,0.0,282.0
-2.0,2.2,0.0,40.0,0.0,715.0
8.0,2.2,0.0,40.0,1.0,815.0
-1.0,1.8,0.0,40.0,0.0,878.0
0.0,2.4,0.0,40.0,0.0,925.0
8.0,2.4,0.0,40.0,1.0,1021.0
3.0,2.0,0.0,40.0,0.0,1076.0
2.0,2.4,0.0,40.0,0.0,1123.0
8.0,1.6,0.0,40.0,1.0,1230.0
4.0,2.0,0.0,40.0,0.0,1283.0
-1.0,2.4,0.0,40.0,0.0,1338.0
0.0,2.0,0.0,40.0,0.0,1385.0
8.0,2.0,0.0,40.0,1.0,1481.0
-4.0,1.8,0.0,40.0,0.0,1550.0
5.0,2.2,0.0,40.0,0.0,1613.0
7.0,2.4,0.0,40.0,0.0,1662.0
-3.0,1.6,0.0,40.0,0.0,1727.0
5.0,1.6,0.0,40.0,0.0,1773.0
-4.0,2.0,0.0,40.0,0.0,1836.0
2.0,1.6,0.0,40.0,0.0,1893.0
4.0,1.8,0.0,40.0,0.0,1942.0
-4.0,2.4,0.0,40.0,0.0,2003.0
8.0,1.8,0.0,40.0,1.0,2122.0
4.0,1.6,0.0,40.0,0.0,2175.0
-4.0,1.6,0.0,40.0,0.0,2221.0
-4.0,2.2,0.0,40.0,0.0,2266.0
4.0,2.2,0.0,40.0,0.0,2312.0
0.0,1.6,0.0,40.0,0.0,2365.0
0.0,2.2,0.0,40.0,0.0,2410.0
0.0,1.8,0.0,40.0,0.0,2455.0
5.0,2.4,0.0,40.0,0.0,2510.0
-2.0,2.2,0.0,20.0,0.0,2639.0
-1.0,1.8,0.0,20.0,0.0,2686.0
8.0,2.4,0.0,20.0,1.0,2799.0
2.0,2.4,0.0,20.0,0.0,2841.0
4.0,2.0,0.0,20.0,0.0,2890.0
0.0,2.0,0.0,20.0,0.0,2928.0
-4.0,1.8,0.0,20.0,0.0,2981.0
7.0,2.4,0.0,20.0,0.0,3048.0
5.0,1.6,0.0,20.0,0.0,3097.0
2.0,1.6,0.0,20.0,0.0,3133.0
-4.0,2.4,0.0,20.0,0.0,3190.0
4.0,1.6,0.0,20.0,0.0,3251.0
-4.0,2.2,0.0,20.0,0.0,3312.0
0.0,1.6,0.0,20.0,0.0,3365.0
0.0,1.8,0.0,20.0,0.0,3410.0
2.0,1.6,10.0,40.0,0.0,4129.0
0.0,1.6,10.0,40.0,0.0,4163.0
-4.0,1.6,10.0,40.0,0.0,4201.0
8.0,1.8,10.0,40.0,0.0,4270.0
5.0,1.6,10.0,40.0,0.0,4321.0
8.0,1.6,10.0,40.0,0.0,4357.0
-3.0,2.4,10.0,40.0,0.0,4424.0
-2.0,1.8,10.0,40.0,0.0,4471.0
1.0,2.0,10.0,40.0,0.0,4522.0
-1.0,2.0,10.0,40.0,0.0,4556.0
8.0,2.4,10.0,40.0,0.0,4619.0
-1.0,1.6,10.0,40.0,0.0,4682.0
2.0,2.4,10.0,40.0,0.0,4733.0
2.0,2.2,10.0,40.0,0.0,4778.0
5.0,2.0,10.0,40.0,0.0,4829.0
6.0,2.2,10.0,40.0,0.0,4876.0
8.0,2.2,10.0,40.0,0.0,4910.0
4.0,1.8,10.0,40.0,0.0,4963.0
7.0,2.4,10.0,40.0,0.0,5014.0
5.0,1.8,10.0,40.0,0.0,5063.0
2.0,2.0,10.0,40.0,0.0,5114.0
-1.0,2.2,10.0,40.0,0.0,5165.0
-4.0,1.8,10.0,40.0,0.0,5216.0
4.0,2.4,10.0,40.0,0.0,5277.0
-4.0,2.2,10.0,40.0,0.0,5338.0
1.0,2.4,10.0,40.0,0.0,5393.0
-4.0,2.0,10.0,40.0,0.0,5448.0
8.0,2.0,10.0,40.0,0.0,5502.0
-4.0,2.4,10.0,40.0,0.0,5571.0
7.0,1.6,10.0,40.0,0.0,5638.0
