Name,P1,P2,P3,P4,P5
DP 0,40,0,0,39.877708,1.1298779
DP 1,39.99,0,-0.7,39.885841,0.68169409
DP 2,39.98,0,-1.4,39.898029,0.23580131
DP 3,39.95,0,-2.09,39.894127,-0.20475739
DP 4,39.9,0,-2.79,39.873028,-0.65498817
DP 5,39.85,0,-3.49,39.852528,-1.1088526
DP 6,39.78,0,-4.18,39.810219,-1.561831
DP 7,39.7,0,-4.87,39.75182,-2.0234146
DP 8,39.61,0,-5.57,39.671158,-2.509186
DP 9,39.99,0,0.7,39.854317,1.5811896
DP 10,39.98,0,1.4,39.835945,2.0363591
DP 11,39.95,0,2.09,39.803612,2.4894569
DP 12,39.9,0,2.79,39.75708,2.9554613
