  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 642-015A AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.050 (top)        0.050 (bottom)  
 Mach =   0.000     Re =     0.420 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4454   0.01986   0.01092  -0.0985   0.0500   0.0258
  -9.000  -0.3771   0.01569   0.00621  -0.0935   0.0500   0.0500
  -8.000  -0.2787   0.01509   0.00518  -0.0923   0.0500   0.0500
  -7.000  -0.1787   0.01471   0.00441  -0.0913   0.0500   0.0500
  -6.000  -0.0777   0.01447   0.00397  -0.0904   0.0500   0.0500
  -5.000   0.0238   0.01436   0.00371  -0.0895   0.0500   0.0500
  -4.000   0.1255   0.01434   0.00360  -0.0886   0.0500   0.0500
  -3.000   0.2267   0.01444   0.00364  -0.0876   0.0500   0.0500
  -2.000   0.3254   0.01462   0.00381  -0.0859   0.0500   0.0500
  -1.000   0.4248   0.01492   0.00410  -0.0845   0.0500   0.0500
   0.000   0.5245   0.01536   0.00458  -0.0831   0.0500   0.0500
   1.000   0.6244   0.01595   0.00526  -0.0818   0.0500   0.0500
   2.000   0.7211   0.01673   0.00619  -0.0801   0.0500   0.0500
   3.000   0.8150   0.01768   0.00750  -0.0778   0.0500   0.0500
   4.000   0.9044   0.01883   0.00900  -0.0748   0.0500   0.0500
   5.000   0.9418   0.02350   0.01417  -0.0630   0.0238   0.0500
   6.000   1.0064   0.02732   0.01845  -0.0561   0.0229   0.0500
   7.000   1.0814   0.03082   0.02229  -0.0513   0.0212   0.0500
   8.000   1.1530   0.03516   0.02707  -0.0464   0.0195   0.0500
   9.000   1.2084   0.04207   0.03465  -0.0401   0.0188   0.0500
