  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 642-015A AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.050 (top)        0.050 (bottom)  
 Mach =   0.000     Re =     0.420 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -1.2024   0.04199   0.03456   0.0391   0.0500   0.0189
  -8.000  -1.1468   0.03510   0.02700   0.0454   0.0500   0.0195
  -7.000  -1.0754   0.03080   0.02228   0.0503   0.0500   0.0212
  -6.000  -1.0010   0.02732   0.01844   0.0552   0.0500   0.0229
  -5.000  -0.9372   0.02352   0.01420   0.0622   0.0500   0.0239
  -4.000  -0.9007   0.01886   0.00902   0.0741   0.0500   0.0500
  -3.000  -0.8124   0.01770   0.00752   0.0773   0.0500   0.0500
  -2.000  -0.7191   0.01675   0.00621   0.0797   0.0500   0.0500
  -1.000  -0.6229   0.01596   0.00528   0.0815   0.0500   0.0500
   0.000  -0.5233   0.01537   0.00459   0.0829   0.0500   0.0500
   1.000  -0.4238   0.01492   0.00410   0.0843   0.0500   0.0500
   2.000  -0.3246   0.01462   0.00381   0.0858   0.0500   0.0500
   3.000  -0.2261   0.01444   0.00365   0.0874   0.0500   0.0500
   4.000  -0.1251   0.01435   0.00360   0.0885   0.0500   0.0500
   5.000  -0.0235   0.01436   0.00371   0.0895   0.0500   0.0500
   6.000   0.0779   0.01447   0.00397   0.0904   0.0500   0.0500
   7.000   0.1788   0.01471   0.00442   0.0913   0.0500   0.0500
   8.000   0.2787   0.01509   0.00518   0.0923   0.0500   0.0500
   9.000   0.3772   0.01569   0.00622   0.0935   0.0500   0.0500
  10.000   0.4454   0.01986   0.01091   0.0985   0.0258   0.0500
