  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 642-015A AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.050 (top)        0.050 (bottom)  
 Mach =   0.000     Re =     0.420 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.9234   0.02555   0.01648  -0.0230   0.0500   0.0279
  -9.000  -0.8618   0.02178   0.01253  -0.0176   0.0500   0.0313
  -8.000  -0.8011   0.01898   0.00949  -0.0108   0.0500   0.0370
  -7.000  -0.7237   0.01674   0.00704  -0.0061   0.0500   0.0500
  -6.000  -0.6298   0.01554   0.00546  -0.0037   0.0500   0.0500
  -5.000  -0.5285   0.01490   0.00454  -0.0025   0.0500   0.0500
  -4.000  -0.4249   0.01443   0.00385  -0.0017   0.0500   0.0500
  -3.000  -0.3198   0.01408   0.00334  -0.0011   0.0500   0.0500
  -2.000  -0.2137   0.01384   0.00299  -0.0007   0.0500   0.0500
  -1.000  -0.1070   0.01370   0.00278  -0.0003   0.0500   0.0500
   0.000  -0.0000   0.01365   0.00271   0.0000   0.0500   0.0500
   1.000   0.1070   0.01370   0.00278   0.0003   0.0500   0.0500
   2.000   0.2137   0.01384   0.00299   0.0007   0.0500   0.0500
   3.000   0.3198   0.01408   0.00334   0.0011   0.0500   0.0500
   4.000   0.4250   0.01443   0.00385   0.0017   0.0500   0.0500
   5.000   0.5286   0.01490   0.00454   0.0025   0.0500   0.0500
   6.000   0.6299   0.01554   0.00546   0.0037   0.0500   0.0500
   7.000   0.7239   0.01674   0.00704   0.0061   0.0500   0.0500
   8.000   0.8014   0.01898   0.00950   0.0107   0.0370   0.0500
   9.000   0.8624   0.02179   0.01253   0.0175   0.0313   0.0500
  10.000   0.9241   0.02556   0.01650   0.0228   0.0278   0.0500
