  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 642-015A AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.050 (top)        0.050 (bottom)  
 Mach =   0.000     Re =     0.420 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.01365   0.00271   0.0000   0.0500   0.0500
   0.500   0.0535   0.01367   0.00273   0.0002   0.0500   0.0500
   1.000   0.1070   0.01370   0.00278   0.0003   0.0500   0.0500
   1.500   0.1604   0.01376   0.00286   0.0005   0.0500   0.0500
   2.000   0.2137   0.01384   0.00299   0.0007   0.0500   0.0500
   2.500   0.2669   0.01395   0.00314   0.0009   0.0500   0.0500
   3.000   0.3198   0.01408   0.00334   0.0011   0.0500   0.0500
   3.500   0.3726   0.01424   0.00357   0.0014   0.0500   0.0500
   4.000   0.4250   0.01443   0.00385   0.0017   0.0500   0.0500
   4.500   0.4770   0.01465   0.00417   0.0021   0.0500   0.0500
   5.000   0.5286   0.01490   0.00454   0.0025   0.0500   0.0500
   5.500   0.5796   0.01520   0.00497   0.0030   0.0500   0.0500
   6.000   0.6299   0.01554   0.00546   0.0037   0.0500   0.0500
   6.500   0.6791   0.01597   0.00606   0.0045   0.0500   0.0500
   7.000   0.7239   0.01674   0.00704   0.0061   0.0500   0.0500
   7.500   0.7638   0.01783   0.00824   0.0083   0.0427   0.0500
   8.500   0.8310   0.02061   0.01119   0.0142   0.0333   0.0500
   9.000   0.8624   0.02179   0.01253   0.0175   0.0313   0.0500
   9.500   0.8944   0.02330   0.01417   0.0202   0.0294   0.0500
  10.000   0.9241   0.02556   0.01650   0.0228   0.0278   0.0500
