Name,P1,P2,P3,P4,P5
DP 0,40,0,0,40.330799,1.4902347
DP 1,39.99,0,-0.7,40.332478,1.0803956
DP 2,39.98,0,-1.4,40.378216,0.64804381
DP 3,39.95,0,-2.09,40.393597,0.22230273
DP 4,39.9,0,-2.79,40.391064,-0.2177155
DP 5,39.85,0,-3.49,40.394394,-0.66892123
DP 6,39.78,0,-4.18,40.383224,-1.1310734
DP 7,39.7,0,-4.87,40.362808,-1.602731
DP 8,39.61,0,-5.57,40.524647,-2.1446214
DP 9,39.99,0,0.7,40.297638,1.9441915
DP 10,39.98,0,1.4,40.260422,2.3726265
DP 11,39.95,0,2.09,40.211834,2.7974231
DP 12,39.9,0,2.79,40.15181,3.2468412
