run	hr	min	sec	AoA	AoS	dPb	pBar	temp	B1	B2	B3	B4	B5	B6	rpmWT	rho	q	V	Re	rpsM1	rpsM2	iM1	iM2	dPtQ	tM1	tM2	vM1	vM2	pInf	nu	J_M1	J_M2	FX	FY	FZ	MX	MY	MZ	CFX	CFY	CFZ	CMX	CMY	CMZ	CN	CT	CY	CL	CD	CYaw	CMroll	CMpitch	CMpitch25c	CMyaw
1	12	50	49	-5	0	231.99	101148	292.62	649.7	-63.6	-218.3	-188.1	198.5	10.6	356.483	1.20419201398114	541.946552015075	30.0016648522831	329158.11330751	0	0	0	0	0	0	0	0	0	101148	1.50373438604047e-05	Inf	Inf	5.99920023785253	-0.88168526119526	-20.0641920204989	-0.450744986943161	-3.73133129409331	-0.0715850431944455	0.0509727050220603	-0.00749131233487408	-0.170477080413799	-0.00274224594742114	-0.192166550367543	-0.000435509656862117	-0.174270927620441	0.0359206819254541	0.00749131233487408	-0.170477080413799	0.0509727050220603	0.00749131233487408	-0.00487318195996385	-0.206533358580773	-0.206533358580773	-9.12661786865872e-06
2	12	52	19	-4.002	0	231.82	101151	292.65	629.5	-59.4	-131.3	-103.5	205.8	9	356.419	1.20410428249471	541.547972992951	29.9917228825605	328998.960006295	0	0	0	0	0	0	0	0	0	101151	1.50396326833696e-05	Inf	Inf	5.81137225073447	-0.840243652011109	-9.35030400765845	-0.436427483063789	-3.45954094856574	-0.0623879991955744	0.049413150174046	-0.00714445469473521	-0.0795041095577758	-0.00265709518547678	-0.178300262259736	-0.000379835960674045	-0.0827588556584125	0.0437439670904193	0.00714445469473521	-0.0795041095577758	0.049413150174046	0.00714445469473521	-0.0046859010281787	-0.192227505309812	-0.192227505309812	-5.187467205012e-05
3	12	53	33	-2.998	0	231.86	101151	292.68	618.3	-61	-46.1	-15.7	221.7	8.8	356.449	1.20398086057154	541.641756051648	29.9958570344123	328984.483574307	0	0	0	0	0	0	0	0	0	101151	1.50423676788801e-05	Inf	Inf	5.70449998487935	-0.864807296937207	1.63056119967726	-0.40920575087452	-3.20025556736039	-0.0630871758344811	0.0484960343882459	-0.00735204216366735	0.0138619953056868	-0.00249093013475609	-0.164908471173123	-0.000384026243685301	0.0113066274173399	0.0491546583925295	0.00735204216366735	0.0138619953056868	0.0484960343882459	0.00735204216366735	-0.00457696476489935	-0.178577222416687	-0.178577222416687	-0.00014412037013758
4	12	54	17	-2	0	232.01	101152	292.69	617	-62	37.9	70.4	245.9	6.5	356.553	1.20395162795352	541.993443840579	30.005957877614	329078.574533534	0	0	0	0	0	0	0	0	0	101152	1.50431306657349e-05	Inf	Inf	5.69332491307375	-0.917083087155167	12.6597093971743	-0.435546750214216	-2.92890751639793	-0.0450161883218864	0.0483696246489576	-0.00779139876519956	0.107554970260007	-0.00264955354143264	-0.150828032723108	-0.000273846151145406	0.105801375122225	0.0520937735104516	0.00779139876519956	0.107554970260007	0.0483696246489576	0.00779139876519956	-0.00485218770565425	-0.164461155006431	-0.164461155006431	-0.000104340422635808
5	12	55	18	-1	0	231.65	101151	292.69	626	-64.9	119.8	155.6	279.2	6.3	356.499	1.2039397255529	541.149396645482	29.9827328195722	328820.612028913	0	0	0	0	0	0	0	0	0	101151	1.50432793852796e-05	Inf	Inf	5.77596822314884	-0.958749691936877	23.7580813405973	-0.415486558287778	-2.65517579163858	-0.0451444947592926	0.0491482883748885	-0.00815809653346059	0.202159878283603	-0.00253146399718014	-0.136945114143692	-0.000275055018927668	0.201271332450542	0.0526689792136311	0.00815809653346059	0.202159878283603	0.0491482883748885	0.00815809653346059	-0.00483491233136733	-0.150797705109483	-0.150797705109483	-0.00019063227162037
6	12	56	15	0	0	231.83	101151	292.69	648.2	-73.7	198.6	240.9	321.8	9.5	356.69	1.2039397255529	541.571418743743	29.9944217449252	328948.804465929	0	0	0	0	0	0	0	0	0	101151	1.50432793852796e-05	Inf	Inf	5.97914630385647	-1.06229481222363	34.8938304806427	-0.425175013771754	-2.39808795324027	-0.0649186751010224	0.0508375046205142	-0.00903212844782456	0.296683703347911	-0.0025884748727784	-0.123588998230748	-0.000395226327582998	0.296683703347911	0.0508375046205142	0.00903212844782456	0.296683703347911	0.0508375046205142	0.00903212844782456	-0.00513420708594995	-0.137917699809485	-0.137917699809485	-0.000395226327582998
7	12	57	7	1	0	231.95	101151	292.69	672.2	-73.2	280.4	319.7	368.8	12	356.796	1.2039397255529	541.852768475126	30.00221187793	329034.238849708	0	0	0	0	0	0	0	0	0	101151	1.50432793852796e-05	Inf	Inf	6.19516444273681	-1.02371047260866	45.8745111621274	-0.43752002655328	-2.11321686947636	-0.081169421272233	0.0526468417337197	-0.00869954683701188	0.389844071305611	-0.00266224852847865	-0.108851198059863	-0.00049390464258703	0.390703510244876	0.0458351061851321	0.00869954683701188	0.389844071305612	0.0526468417337197	0.00869954683701188	-0.00510484287910258	-0.12368986667463	-0.12368986667463	-0.000582921211242254
8	12	57	50	2	0	231.86	101153	292.69	699.9	-69.1	359.7	395.7	419.9	12.5	356.815	1.20396353035415	541.641756051648	29.996072918382	328973.417355982	0	0	0	0	0	0	0	0	0	101153	1.50429819491307e-05	Inf	Inf	6.44890451241871	-0.94935073149251	56.7043811261337	-0.397927408321348	-1.82138042781062	-0.0876098368626806	0.0548244887071178	-0.00807077672767157	0.482064619922221	-0.00242227625275233	-0.0938553360670001	-0.000533301358243214	0.483684306243564	0.0379672784965376	0.00807077672767157	0.482064619922221	0.0548244887071178	0.00807077672767157	-0.00467557536590053	-0.109307780945149	-0.109307780945149	-0.000696151712529633
9	12	59	52	3	0	231.92	101149	292.69	734.5	-73	432.7	473.6	478	11.1	357.082	1.20391592075165	541.782430917339	30.0005611241675	329009.629589201	0	0	0	0	0	0	0	0	0	101149	1.50435768331908e-05	Inf	Inf	6.7643661464445	-1.03344608910943	67.428183002028	-0.423242931640216	-1.51150131177553	-0.0755301776138062	0.0574914114496866	-0.00878342080156162	0.573082729164794	-0.00257570874211782	-0.0778671092273207	-0.000459650295917917	0.575306207195696	0.0274197888312288	0.00878342080156162	0.573082729164794	0.0574914114496866	0.00878342080156162	-0.00502036304056622	-0.0940712341967146	-0.0940712341967146	-0.000721765861577078
10	13	0	38	4	0	231.91	101150	292.69	775.3	-74.6	502.9	546.2	541.7	10	357.287	1.20392782315227	541.758985083254	29.9997636799393	329004.136827825	0	0	0	0	0	0	0	0	0	101150	1.50434281077649e-05	Inf	Inf	7.13782189706668	-1.09257676921103	77.6757755214667	-0.435559662421543	-1.20305671855409	-0.067314161518679	0.060668096027394	-0.00928638362061606	0.660207199940817	-0.00265077877972456	-0.0619798357630211	-0.00040966821844024	0.6628309608313	0.014466585386285	0.00928638362061606	0.660207199940817	0.060668096027394	0.00928638362061606	-0.00522676355169769	-0.0790793187100247	-0.0790793187100247	-0.000773270881710723
