run	hr	min	sec	AoA	AoS	dPb	pBar	temp	B1	B2	B3	B4	B5	B6	rpmWT	rho	q	V	Re	rpsM1	rpsM2	iM1	iM2	dPtQ	tM1	tM2	vM1	vM2	pInf	nu	J_M1	J_M2	FX	FY	FZ	MX	MY	MZ	CFX	CFY	CFZ	CMX	CMY	CMZ	CN	CT	CY	CL	CD	CYaw	CMroll	CMpitch	CMpitch25c	CMyaw
1	14	0	8	7	0	420	101290	286.43	1442.5	-155.8	1849.1	1925	-306.4	77.8	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	98.43	98.43	0.64	0.64	0	0	0	0	0	101290	1.4456734455218e-05	1.9987195264536	1.9987195264536	13.2747399213173	-1.46092587405618	223.861184144109	-0.335150955395857	-19.4133622311448	-0.509370623752683	0.0620955092191517	-0.0068338013865925	1.04715981678166	-0.00112255029406342	-0.550433160533274	-0.00170607940772682	1.04692198523701	-0.0659840206017581	0.0068338013865925	1.04715981678166	0.0620955092191517	0.0068338013865925	-0.00281803434271766	-0.567934964125379	-0.567934964125379	-0.00203679454557391
2	14	0	53	1.507	0	420	101290	286.43	400.3	-95.8	1000.4	1016.6	-686.8	45	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	103.61	103.61	0.43	0.43	0	0	0	0	0	101290	1.4456734455218e-05	1.89879319552965	1.89879319552965	3.6877839747272	-0.925059835613591	106.837201882518	-0.712960279523638	-12.8550205999754	-0.303445197757347	0.0172504188525141	-0.00432717039211949	0.499754457998148	-0.00238797997902019	-0.364482439121909	-0.00101635543772301	0.500035272758345	0.00410137014872631	0.00432717039211949	0.499754457998148	0.0172504188525141	0.00432717039211949	-0.00357962878530472	-0.369344520880071	-0.369344520880071	-0.00111014484136031
3	14	1	39	-0.002	0	420	101290	286.43	-870.8	-167.6	901.8	921.1	-1620.5	89.9	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0.28	0.27	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-8.00479211014517	-1.52996076947796	71.9465001350256	-1.2669138813634	-12.5357634694238	-0.596328699718011	-0.0374441718044287	-0.0071567272601324	0.336545543558707	-0.00424338503943018	-0.355430441363871	-0.00199733566755389	0.336546850401838	-0.0374324241259828	0.0071567272601324	0.336545543558707	-0.0374441718044287	0.0071567272601324	-0.00626059957743283	-0.344876690394903	-0.344876690394903	-0.00199711713018554
4	14	2	25	1.495	0	420	101290	286.43	1447.9	-70.1	778.5	812	225.7	35	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	0.26	0.26	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	13.3258416127889	-0.633996483855698	103.10835762711	-0.157867890599475	-11.174994012601	-0.240248823943497	0.062334548595644	-0.00296565768832515	0.482311970671776	-0.00052876067981456	-0.316848117294602	-0.000804686317088436	0.483774084747077	0.0497299500205141	0.00296565768832515	0.482311970671776	0.062334548595644	0.00296565768832515	-0.00134318155234509	-0.334417294844514	-0.334417294844514	-0.000839455625717057
5	14	3	3	3	0	420	101290	286.43	-603	-48	1536.7	1507.6	-1703.5	16	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0.7	0.69	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-5.55147734473966	-0.547438631514398	144.827045968018	-0.981068416306108	-16.5768765687815	-0.101978441022269	-0.0259682535916671	-0.00256076433825522	0.677460290852704	-0.00328597791977044	-0.470009391103106	-0.000341565277122559	0.675172781685255	-0.0613881971410344	0.00256076433825522	0.677460290852704	-0.0259682535916671	0.00256076433825522	-0.00398436834004875	-0.462690161746482	-0.462690161746482	-0.000549622900881781
6	14	3	40	4.5	0	420	101290	286.43	13.1	0.3	1727.5	1685.3	-1305.1	-5.6	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	115.79	115.79	0.47	0.46	0	0	0	0	0	101290	1.4456734455218e-05	1.69905832100205	1.69905832100205	0.126388017799647	-0.00309274721648592	177.173780385919	-0.676538655916921	-17.6976608792662	0.028539013597641	0.000591207690017745	-1.44670038307425e-05	0.828769239816045	-0.0022659898619349	-0.501787340896186	9.5588204629978e-05	0.826260806458189	-0.0644350999290054	1.44670038307425e-05	0.828769239816045	0.000591207690017734	1.44670038307425e-05	-0.00227056933371496	-0.501953974538505	-0.501953974538505	-8.28532786145968e-05
7	14	4	21	-0.995	0	420	101290	286.43	962.8	-124.1	328.8	380.2	34.1	52.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	89.48	89.48	0.3	0.29	0	0	0	0	0	101290	1.4456734455218e-05	2.19863615320549	2.19863615320549	8.85198608759231	-1.31267388660428	44.3637183565725	-0.538409783345625	-8.84835611409139	-0.357849232514171	0.0414071075567518	-0.00614032018032088	0.207521028550067	-0.00180334279491278	-0.250880221746939	-0.0011985756111442	0.206770696592493	0.0450044984123764	0.00614032018032088	0.207521028550067	0.0414071075567518	0.00614032018032088	-0.00355429083521237	-0.262550937920918	-0.262550937920918	-0.00113667407828357
8	14	4	57	-4	0	420	101290	286.43	560.8	-120.9	-263.6	-243.2	27.1	55.5	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	98.43	98.43	0.48	0.47	0	0	0	0	0	101290	1.4456734455218e-05	1.9987195264536	1.9987195264536	5.14935223126477	-1.22382685554223	-30.4286490902309	-0.973940616796342	-5.28956841571271	-0.386461041843666	0.0240872251241387	-0.00572471869440791	-0.142336683905538	-0.00326210415988137	-0.14997679568595	-0.00129440763686101	-0.143670198784302	0.0140996447006735	0.00572471869440791	-0.142336683905538	0.0240872251241387	0.00572471869440791	-0.00495404963174805	-0.156765851585526	-0.156765851585526	-0.000945677491850194
9	14	5	56	6.995	0	420	101290	286.43	1171.8	-146.7	1907	1970.6	-546	74.5	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	103.61	103.61	0.71	0.72	0	0	0	0	0	101290	1.4456734455218e-05	1.89879319552965	1.89879319552965	10.7842640702183	-1.35760335734299	224.318711597617	-0.417505140463288	-19.8954110077937	-0.487099546713235	0.0504457618727913	-0.00635048763979684	1.04930000185313	-0.00139838634100414	-0.564100840994949	-0.00163148494908888	1.04763325665207	-0.0777163324950356	0.00635048763979684	1.04930000185313	0.0504457618727913	0.00635048763979684	-0.00296587231100044	-0.578319128717427	-0.578319128717427	-0.00198053347034706
10	14	6	31	4.005	0	420	101290	286.43	1721.2	-79.8	1243.7	1287.6	239.7	43.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	82.02	82.02	0.78	0.74	0	0	0	0	0	101290	1.4456734455218e-05	2.39860964385305	2.39860964385305	15.840435328452	-0.689937624871104	161.096638496015	-0.0634841834476939	-14.0995980628282	-0.286719831926474	0.0740971125463421	-0.00322733465211061	0.753564880381553	-0.000212633106515875	-0.399770335069552	-0.000960335712791633	0.756899847800974	0.0212845350203259	0.00322733465211061	0.753564880381553	0.0740971125463421	0.00322733465211061	-0.00105245310244979	-0.420654826183898	-0.420654826183898	-0.00103149757072609
11	14	7	23	-1	0	420	101290	286.43	-909.6	-262.6	653.7	733.1	-1546.8	133.2	0	1.23194272411362	984.38867652	39.9763412793298	456208.297709338	123.03	123.03	0.54	0.5	0	0	0	0	0	101290	1.4456734455218e-05	1.59907309590204	1.59907309590204	-8.37396026915223	-2.53109242537069	47.0757257609248	-1.31615100685147	-11.2080684912761	-0.882304415391811	-0.039171036884793	-0.0118397402861159	0.220207038353463	-0.00440829923348399	-0.317785888383062	-0.00295517904695125	0.220857128611209	-0.0353219282124511	0.0118397402861159	0.220207038353463	-0.039171036884793	0.0118397402861159	-0.00779576050632903	-0.306745415365324	-0.306745415365324	-0.00281867417802449
